# Harris-Priester coefficients from local MATLAB HPOP HPcoeff.m
# density columns are HPOP gram/km^3 values; runtime converts to kg/m^3.
f107,altitude_km,rho_min_g_km3,rho_max_g_km3
225,1.2000000e+03,1.6800000e-06,1.7000000e-05
225,1.3000000e+03,1.1000000e-06,9.4000000e-06
225,1.4000000e+03,8.1000000e-07,5.2000000e-06
225,1.5000000e+03,6.0000000e-07,3.2000000e-06
225,1.6000000e+03,4.5000000e-07,2.2000000e-06
225,1.7000000e+03,3.6000000e-07,1.6000000e-06
225,1.8000000e+03,2.8000000e-07,1.2000000e-06
225,1.9000000e+03,2.2500000e-07,9.1000000e-07
225,2.0000000e+03,1.7800000e-07,7.2000000e-07
250,1.1000000e+02,7.8000000e+01,7.8000000e+01
250,1.2000000e+02,2.4900000e+01,2.4900000e+01
250,1.3000000e+02,7.8320000e+00,8.1210000e+00
250,1.4000000e+02,3.7420000e+00,3.8850000e+00
250,1.5000000e+02,2.1300000e+00,2.2200000e+00
250,1.6000000e+02,1.3400000e+00,1.4100000e+00
250,1.7000000e+02,9.0040000e-01,9.6240000e-01
250,1.8000000e+02,6.3500000e-01,6.8890000e-01
250,1.9000000e+02,4.6120000e-01,5.1190000e-01
250,2.0000000e+02,3.4400000e-01,3.9040000e-01
250,2.1000000e+02,2.6270000e-01,3.0640000e-01
250,2.2000000e+02,2.0400000e-01,2.4510000e-01
250,2.3000000e+02,1.5970000e-01,1.9910000e-01
250,2.4000000e+02,1.2660000e-01,1.6380000e-01
250,2.5000000e+02,1.0140000e-01,1.3600000e-01
250,2.6000000e+02,8.1960000e-02,1.1400000e-01
250,2.7000000e+02,6.6790000e-02,9.6270000e-02
250,2.8000000e+02,5.4820000e-02,8.1950000e-02
250,2.9000000e+02,4.5080000e-02,7.0250000e-02
250,3.0000000e+02,3.7270000e-02,6.0530000e-02
250,3.2000000e+02,2.5860000e-02,4.5540000e-02
250,3.4000000e+02,1.8270000e-02,3.4770000e-02
250,3.6000000e+02,1.3100000e-02,2.6890000e-02
250,3.8000000e+02,9.5190000e-03,2.1010000e-02
250,4.0000000e+02,6.9970000e-03,1.6580000e-02
250,4.2000000e+02,5.1910000e-03,1.3170000e-02
250,4.4000000e+02,3.8890000e-03,1.0560000e-02
250,4.6000000e+02,2.9360000e-03,8.5180000e-03
250,4.8000000e+02,2.2320000e-03,6.9150000e-03
250,5.0000000e+02,1.7080000e-03,5.6450000e-03
250,5.2000000e+02,1.3140000e-03,4.6310000e-03
250,5.4000000e+02,1.0150000e-03,3.8180000e-03
250,5.6000000e+02,7.8850000e-04,3.1610000e-03
250,5.8000000e+02,6.1490000e-04,2.6270000e-03
250,6.0000000e+02,4.8130000e-04,2.1920000e-03
250,6.2000000e+02,3.7820000e-04,1.8350000e-03
250,6.4000000e+02,2.9820000e-04,1.5410000e-03
250,6.6000000e+02,2.3600000e-04,1.2980000e-03
250,6.8000000e+02,1.8740000e-04,1.0960000e-03
250,7.0000000e+02,1.4940000e-04,9.2810000e-04
250,7.2000000e+02,1.1950000e-04,7.8780000e-04
250,7.4000000e+02,9.5950000e-05,6.7020000e-04
250,7.6000000e+02,7.7350000e-05,5.7140000e-04
250,7.8000000e+02,6.2620000e-05,4.8810000e-04
250,8.0000000e+02,5.0920000e-05,4.1790000e-04
250,8.5000000e+02,3.1000000e-05,2.7000000e-04
250,9.0000000e+02,1.8000000e-05,1.8000000e-04
250,9.5000000e+02,1.1500000e-05,1.3000000e-04
250,1.0000000e+03,7.6000000e-06,9.6000000e-05
250,1.1000000e+03,3.8000000e-06,5.1000000e-05
250,1.2000000e+03,2.1000000e-06,2.5000000e-05
250,1.3000000e+03,1.3200000e-06,1.4000000e-05
250,1.4000000e+03,9.4000000e-07,8.1000000e-06
250,1.5000000e+03,7.0000000e-07,5.0000000e-06
250,1.6000000e+03,5.2000000e-07,3.4500000e-06
250,1.7000000e+03,4.1000000e-07,2.4000000e-06
250,1.8000000e+03,3.3000000e-07,1.6200000e-06
250,1.9000000e+03,2.6000000e-07,1.2000000e-06
250,2.0000000e+03,2.1000000e-07,9.4000000e-07
275,1.1000000e+02,7.8000000e+01,7.8000000e+01
275,1.2000000e+02,2.4900000e+01,2.4900000e+01
275,1.3000000e+02,7.7170000e+00,7.9840000e+00
275,1.4000000e+02,3.7100000e+00,3.8410000e+00
275,1.5000000e+02,2.1320000e+00,2.2150000e+00
275,1.6000000e+02,1.3550000e+00,1.4200000e+00
275,1.7000000e+02,9.2070000e-01,9.7750000e-01
275,1.8000000e+02,6.5630000e-01,7.0520000e-01
275,1.9000000e+02,4.8310000e-01,5.2800000e-01
275,2.0000000e+02,3.6440000e-01,4.0640000e-01
275,2.1000000e+02,2.8130000e-01,3.2010000e-01
275,2.2000000e+02,2.2100000e-01,2.5740000e-01
275,2.3000000e+02,1.7500000e-01,2.1020000e-01
275,2.4000000e+02,1.4020000e-01,1.7370000e-01
275,2.5000000e+02,1.1350000e-01,1.4510000e-01
275,2.6000000e+02,9.2740000e-02,1.2220000e-01
275,2.7000000e+02,7.6130000e-02,1.0380000e-01
275,2.8000000e+02,6.2790000e-02,8.8910000e-02
275,2.9000000e+02,5.2100000e-02,7.6560000e-02
275,3.0000000e+02,4.3460000e-02,6.6250000e-02
275,3.2000000e+02,3.0670000e-02,5.0260000e-02
275,3.4000000e+02,2.2010000e-02,3.8690000e-02
275,3.6000000e+02,1.6020000e-02,3.0150000e-02
275,3.8000000e+02,1.1810000e-02,2.3750000e-02
275,4.0000000e+02,8.8040000e-03,1.8870000e-02
275,4.2000000e+02,6.6200000e-03,1.5110000e-02
275,4.4000000e+02,5.0250000e-03,1.2190000e-02
275,4.6000000e+02,3.8440000e-03,9.9060000e-03
275,4.8000000e+02,2.9610000e-03,8.0910000e-03
275,5.0000000e+02,2.2950000e-03,6.6540000e-03
275,5.2000000e+02,1.7880000e-03,5.4970000e-03
275,5.4000000e+02,1.4000000e-03,4.5610000e-03
275,5.6000000e+02,1.1020000e-03,3.8010000e-03
275,5.8000000e+02,8.7020000e-04,3.1800000e-03
275,6.0000000e+02,6.9000000e-04,2.6710000e-03
275,6.2000000e+02,5.4910000e-04,2.2510000e-03
275,6.4000000e+02,4.3840000e-04,1.9020000e-03
275,6.6000000e+02,3.5120000e-04,1.6130000e-03
275,6.8000000e+02,2.8220000e-04,1.3710000e-03
275,7.0000000e+02,2.2750000e-04,1.1690000e-03
275,7.2000000e+02,1.8400000e-04,9.9840000e-04
275,7.4000000e+02,1.4920000e-04,8.5500000e-04
275,7.6000000e+02,1.2140000e-04,7.3380000e-04
275,7.8000000e+02,9.9120000e-05,6.3100000e-04
275,8.0000000e+02,8.1190000e-05,5.4370000e-04
275,8.5000000e+02,4.4000000e-05,3.6500000e-04
275,9.0000000e+02,2.7000000e-05,2.4000000e-04
275,9.5000000e+02,1.7000000e-05,1.7500000e-04
275,1.0000000e+03,1.1500000e-05,1.3000000e-04
275,1.1000000e+03,5.3000000e-06,7.3000000e-05
275,1.2000000e+03,2.6500000e-06,3.8000000e-05
275,1.3000000e+03,1.5500000e-06,2.2000000e-05
275,1.4000000e+03,1.0800000e-06,1.3500000e-05
275,1.5000000e+03,8.0000000e-07,8.4000000e-06
275,1.6000000e+03,5.8000000e-07,5.8000000e-06
275,1.7000000e+03,4.6500000e-07,3.8000000e-06
275,1.8000000e+03,3.6500000e-07,2.4000000e-06
275,1.9000000e+03,2.9000000e-07,1.7000000e-06
275,2.0000000e+03,2.3000000e-07,1.2500000e-06
