# Harris-Priester coefficients from local MATLAB HPOP HPcoeff.m
# density columns are HPOP gram/km^3 values; runtime converts to kg/m^3.
f107,altitude_km,rho_min_g_km3,rho_max_g_km3
75,6.0000000e+02,1.1090000e-05,1.1370000e-04
75,6.2000000e+02,8.5000000e-06,8.6140000e-05
75,6.4000000e+02,6.6990000e-06,6.5670000e-05
75,6.6000000e+02,5.4160000e-06,5.0430000e-05
75,6.8000000e+02,4.4790000e-06,3.9030000e-05
75,7.0000000e+02,3.7770000e-06,3.0470000e-05
75,7.2000000e+02,3.2380000e-06,2.4020000e-05
75,7.4000000e+02,2.8120000e-06,1.9130000e-05
75,7.6000000e+02,2.4680000e-06,1.5400000e-05
75,7.8000000e+02,2.1840000e-06,1.2540000e-05
75,8.0000000e+02,1.9450000e-06,1.0330000e-05
75,8.5000000e+02,1.4000000e-06,7.3000000e-06
75,9.0000000e+02,1.0000000e-06,5.2000000e-06
75,9.5000000e+02,7.8000000e-07,3.8000000e-06
75,1.0000000e+03,5.8000000e-07,3.1000000e-06
75,1.1000000e+03,3.5500000e-07,2.0500000e-06
75,1.2000000e+03,2.3000000e-07,1.4000000e-06
75,1.3000000e+03,1.4500000e-07,1.0000000e-06
75,1.4000000e+03,9.1000000e-08,7.2000000e-07
75,1.5000000e+03,6.7000000e-08,5.4500000e-07
75,1.6000000e+03,4.5000000e-08,4.1500000e-07
75,1.7000000e+03,3.3000000e-08,3.4000000e-07
75,1.8000000e+03,2.2500000e-08,2.6500000e-07
75,1.9000000e+03,1.6000000e-08,2.1000000e-07
75,2.0000000e+03,1.2800000e-08,1.7000000e-07
100,1.1000000e+02,7.8000000e+01,7.8000000e+01
100,1.2000000e+02,2.4900000e+01,2.4900000e+01
100,1.3000000e+02,8.7400000e+00,9.0910000e+00
100,1.4000000e+02,4.0020000e+00,4.1570000e+00
100,1.5000000e+02,2.1030000e+00,2.1910000e+00
100,1.6000000e+02,1.1950000e+00,1.2830000e+00
100,1.7000000e+02,7.1860000e-01,8.0690000e-01
100,1.8000000e+02,4.5150000e-01,5.3530000e-01
100,1.9000000e+02,2.9570000e-01,3.6950000e-01
100,2.0000000e+02,1.9800000e-01,2.6380000e-01
100,2.1000000e+02,1.3540000e-01,1.9380000e-01
